intersection_name,osm_node_id,,,Google Earth Data,,,,OSM Generated Data,,,,UTDF Data,,,,OSM and Google Earth Data Comparison,,,,,UTDF and Google Earth Data Comparison,,,,,OSM and Google Earth Data KPI,,,,,UTDF and Google Earth Data KPI,,,,
,,mvmt_txt_id,,Lanes,x-coordinate,y-coordinate,,Lanes,x-coordinate,y-coordinate,,Lanes,x-coordinate,y-coordinate,,Lane Comparison,,x_coord comparison,y_coord comparison,,Lane Comparison,,x_coord comparison,y_coord comparison,,Lane Comparison,,x_coord comparison,y_coord comparison,,Lane Comparison,,x_coord comparison,y_coord comparison,
SR 95 & Rancho Colorado,175244587,EBR,,0,,,,1,,,,?,,,,-1,,0,0,,N/A,,,,,0,,,,,0,,,,
SR 95 & Rancho Colorado,175244587,EBTL,,0,,,,0,,,,?,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & Rancho Colorado,175244587,EBTR,,0,,,,0,,,,?,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & Rancho Colorado,175244587,WBL,,1,,,,1,,,,?,,,,0,,0,0,,N/A,,,,,1,,,,,0,,,,
SR 95 & Rancho Colorado,175244587,WBT,,0,,,,1,,,,?,,,,-1,,0,0,,N/A,,,,,0,,,,,0,,,,
SR 95 & Rancho Colorado,175244587,WBR,,1,,,,1,,,,?,,,,0,,0,0,,N/A,,,,,1,,,,,0,,,,
SR 95 & Rancho Colorado,175244587,WBTL,,0,,,,0,,,,?,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & Rancho Colorado,175244587,WBTR,,0,,,,0,,,,?,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & Mohave,175233447,NBL,,1,-114.59765,35.0841894,,1,-114.59767,35.08420001,,1,,,,0,,1.9977E-05,-1.06149E-05,,0,,,,,1,,,,,1,,,,
SR 95 & Mohave,175233447,NBT,,2,,,,1,,,,2,,,,1,,0,0,,0,,,,,0,,,,,1,,,,
SR 95 & Mohave,175233447,NBR,,1,,,,1,,,,1,,,,0,,0,0,,0,,,,,1,,,,,1,,,,
SR 95 & Mohave,175233447,NBTL,,0,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & Mohave,175233447,NBTR,,0,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
